TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
g_g000769,바베큐 재료,2,3,2249423665.0,더 조은 한우,경기 광명시 소하로 77,경기 광명시 소하동 1339,3187036.0,4121010400.0,2023-06-03 18:05,1,23700,,
g_g000775,전북투어패스,1,2,2068689631.0,(주)엘에스컴퍼니,제주특별자치도 제주시 청사로 11,제주특별자치도 제주시 도남동 573-2,3349193.0,5011012900.0,2023-05-23 13:59,1,11800,(전북투어패스)통합이용권,
g_g000779,물 음료,1,3,6368802595.0,에스원식자재마트,광주 북구 호동로 33,,3162084.0,2917010100.0,2023-06-02 00:00,1,9900,제주삼다수;토닉워터;시나몬조청약과,
g_g000785,커피,1,2,4922400753.0,바른카페 계림점,광주 동구 계림로30번길 15,광주 동구 계림동 1815,4277025.0,2911010900.0,2023-05-20 13:47,1,7000,,
g_g000804,양념갈비; 오징어초무침과 납착만두; 돈마호크,0,4,,롯데마트,743,,,,,1,110400,,4143010700.0
g_g000808,엄마 가방 전병,1,2,4028532364.0,PNB풍년제과,전북 전주시 완산구 은행로 61,,3266057.0,4511111800.0,2023-05-23 19:23,1,29800,땅콩전병;깨전병;생강전병;미니양갱,
g_g000809,주유,1,2,1348178493.0,지에스이앤알 보라주유소,서울 영등포구 영등포로 399,서울 영등포구 신길동 70-1,3118022.0,1156013200.0,2023-05-31 15:33,1,50000,주유비,
g_g000832,족발; 콩나물잡채 등,0,4,,말바우시장,,,,,,1,43000,,2917011000.0
g_g000836,고속버스 예매,1,1,2198101636.0,(주)중앙고속,경기 화성시 풀무골로 1,경기 화성시 영천동 651-866,3210155.0,4159013100.0,2023-05-31 11:50,1,18500,버스표,
g_g000836,고속버스 예매,2,1,2198101636.0,(주)중앙고속,경기 화성시 풀무골로 1,경기 화성시 영천동 651-866,3210155.0,4159013100.0,2023-05-31 00:00,1,18500,버스표,
g_g000842,고기 음료과자술아이스크림빵등등,1,4,3130291435.0,빙그레마트,충남 서천군 비인면 서인로 1253,충남 서천군 비인면 성북리 241-5,3260009.0,4477040022.0,2023-05-28 19:23,1,17100,맥콜;카스캔;빙그레붕어싸만코,
g_g000842,고기 음료과자술아이스크림빵등등,2,4,4794900355.0,비인마트,충남 서천군 비인면 비인로 167-1,충남 서천군 비인면 성내리 335-15,3260005.0,4477040021.0,2023-05-28 12:46,3,26700,스프라이트;오감자;예감;안성탕면;양파링,
g_g000842,고기 음료과자술아이스크림빵등등,3,4,4010587559.0,하나제과,충남 서천군 비인면 비인로 198,충남 서천군 비인면 성내리 311-1,3260005.0,4477040021.0,2023-05-28 12:47,1,10500,,
g_g000842,고기 음료과자술아이스크림빵등등,4,4,3098201218.0,하나로마트,충남 서천군 비인면 비인로 199-1,충남 서천군 비인면 성내리 502-2,3260005.0,4477040021.0,2023-05-27 16:36,1,19430,오리온 비스킷 5묶음;진로 16.5%(병);인기스낵 기획팩(새꿀바감);콩나물;새콤달콤 초고추장,
g_g000842,고기 음료과자술아이스크림빵등등,5,4,7802701437.0,대유 축산물프라자,대구 달서구 평리로 62,대구 달서구 용산동 932-1,3143015.0,2729011100.0,2023-05-26 17:59,1,44000,정육기타,
g_g000859,쌈장.삼겹살.쌈무.찜딝.고구마.버섯.마늘.방울토마토.메론,1,3,1108802619.0,디에스마트,서울 마포구 월드컵북로 230,서울 마포구 중동 64-25,3113019.0,1144012600.0,2023-05-26 21:50,1,15320,호박고구마 1봉;새송이버섯 1봉;마늘;대추방울토마토 1팩;메론,
g_g000859,쌈장.삼겹살.쌈무.찜딝.고구마.버섯.마늘.방울토마토.메론,2,3,2208160348.0,홈플러스,서울 마포구 월드컵로 240,서울 마포구 성산동 515,3113018.0,1144012500.0,2023-05-26 21:20,1,47650,해찬들사계절쌈장;지리산한돈_돼지고기;시그니처새콤한쌈무;행복대란30입;안동식순살찜닭,
g_g000867,주류;고기.과자.음료;과일;야채,0,4,,주양쇼핑홈마트,홍연길 77,,,,,1,158300,,1141011700.0
g_g000898,시외버스 승차권,1,1,6048100854.0,(주)천일고속,부산 서구 구덕로 102-1,,3006005.0,2614012000.0,2023-05-28 22:10,1,22900,버스표,
g_g000898,시외버스 승차권,2,1,6048100854.0,(주)천일고속,,,,,2023-05-28 22:12,1,22900,버스표,
g_g000899,음료;빵;과자;떡; 친척집방문용 과일;고기;반찬 등,0,3,,코스트코 양평점,65  코스트코 양평점,,,,,3,179000,,1156012700.0
g_g000920,주유,1,2,1643200722.0,제이엠9주유소,경북 상주시 북상주로 3,경북 상주시 만산동 227-6,3311022.0,4725013300.0,2023-05-22 18:23,1,60000,주유비,
g_g000931,햇반 라면,1,4,3058528424.0,롯데슈퍼 중촌점,대전 중구 목중로 50,대전 중구 중촌동 16-10,3165009.0,3014010400.0,2023-06-04 15:02,1,18370,농심너구리컵;오뚜기진라면컵순;삼양컵라면;농심사리곰탕컵면;제사용종량제봉투,
g_g000938,간식,0,10,,gs25동구신서점,530-4,,,,,1,25000,,2714012400.0
g_g000967,고속버스 예매,1,2,3538700773.0,(주)동부고속,서울 서초구 신반포로 194,서울 서초구 반포동 19-4,3121017.0,1165010700.0,2023-05-14 10:42,1,38000,버스비,
