,userID,itemID,SIDO
2827,e006926,힐링파크쑥섬쑥섬,전남
2828,e006927,힐링파크쑥섬쑥섬,전남
2829,e006929,미유 애월점,제주특별자치도
2830,e006929,민오름,제주특별자치도
2831,e006930,미유 애월점,제주특별자치도
2832,e006930,민오름,제주특별자치도
2833,e006932,미인폭포,강원
2834,e006932,민우당 서림,강원
2835,e006933,미유 애월점,제주특별자치도
2836,e006933,민오름,제주특별자치도
2837,e006934,미인폭포,강원
2838,e006934,민우당 서림,강원
2839,e006937,미유 애월점,제주특별자치도
2840,e006937,민오름,제주특별자치도
2841,e006939,힐링파크쑥섬쑥섬,전남
2842,e006941,힐링파크쑥섬쑥섬,전남
2843,e006945,미인폭포,강원
2844,e006945,민우당 서림,강원
2845,e006946,미인폭포,강원
2846,e006946,민우당 서림,강원
2847,e006947,힐링파크쑥섬쑥섬,전남
2848,e006949,미인폭포,강원
2849,e006949,민우당 서림,강원
2850,e006951,미유 애월점,제주특별자치도
2851,e006951,민오름,제주특별자치도
2852,e006952,힐링파크쑥섬쑥섬,전남
2853,e006953,민락수변공원,부산
2854,e006953,민락 회 타운 시장,부산
2855,e006954,미유 애월점,제주특별자치도
2856,e006954,민오름,제주특별자치도
2857,e006955,미유 애월점,제주특별자치도
2858,e006955,민오름,제주특별자치도
2859,e007132,밀리오레,서울
2860,e007139,밀양강,경남
2861,e007145,미유 애월점,제주특별자치도
2862,e007145,민오름,제주특별자치도
2863,e007155,미유 애월점,제주특별자치도
2864,e007155,민오름,제주특별자치도
2865,e007166,힐링파크쑥섬쑥섬,전남
2866,e007167,미인폭포,강원
2867,e007167,민우당 서림,강원
2868,e007169,힐링파크쑥섬쑥섬,전남
2869,e007170,힐링파크쑥섬쑥섬,전남
2870,e007172,힐링파크쑥섬쑥섬,전남
2871,e007175,미유 애월점,제주특별자치도
2872,e007175,민오름,제주특별자치도
2873,e007196,미유 애월점,제주특별자치도
2874,e007196,민오름,제주특별자치도
2875,e007198,힐링파크쑥섬쑥섬,전남
2876,e007200,미유 애월점,제주특별자치도
2877,e007200,민오름,제주특별자치도
2878,e007203,미호,경기
2879,e007205,미유 애월점,제주특별자치도
2880,e007205,민오름,제주특별자치도
2881,e007213,힐링파크쑥섬쑥섬,전남
2882,e007214,힐링파크쑥섬쑥섬,전남
2883,e007216,미유 애월점,제주특별자치도
2884,e007216,민오름,제주특별자치도
2885,e007217,미인폭포,강원
2886,e007217,민우당 서림,강원
2887,e007218,미인폭포,강원
2888,e007218,민우당 서림,강원
2889,e007219,미인폭포,강원
2890,e007219,민우당 서림,강원
2891,e007221,힐링파크쑥섬쑥섬,전남
2892,e007227,미인폭포,강원
2893,e007227,민우당 서림,강원
2894,e007231,미유 애월점,제주특별자치도
2895,e007231,민오름,제주특별자치도
2896,e007245,힐링파크쑥섬쑥섬,전남
2897,e007255,미인폭포,강원
2898,e007255,민우당 서림,강원
2899,e007268,밀양강,경남
2900,e007270,미인폭포,강원
2901,e007270,민우당 서림,강원
2902,e007272,미인폭포,강원
2903,e007272,민우당 서림,강원
2904,e007289,미유 애월점,제주특별자치도
2905,e007289,민오름,제주특별자치도
2906,e007294,미시령,강원특별자치도
2907,e007294,민우당 서림,강원특별자치도
2908,e007296,미인폭포,강원
2909,e007296,민우당 서림,강원
2910,e007301,미인폭포,강원
2911,e007301,민우당 서림,강원
2912,e007306,미유 애월점,제주특별자치도
2913,e007306,민오름,제주특별자치도
2914,e007310,힐링파크쑥섬쑥섬,전남
2915,e007311,미유 애월점,제주특별자치도
2916,e007311,민오름,제주특별자치도
2917,e007312,미인폭포,강원
2918,e007312,민우당 서림,강원
2919,e007315,미인폭포,강원
2920,e007315,민우당 서림,강원
2921,e007316,힐링파크쑥섬쑥섬,전남
2922,e007328,힐링파크쑥섬쑥섬,전남
2923,e007332,민둥산,강원특별자치도
2924,e007332,미인폭포,강원특별자치도
2925,e007334,힐링파크쑥섬쑥섬,전남
2926,e007338,미유 애월점,제주특별자치도
2927,e007338,민오름,제주특별자치도
2928,e007339,힐링파크쑥섬쑥섬,전남
2929,e007341,미인폭포,강원
2930,e007341,민우당 서림,강원
2931,e007354,미인폭포,강원
2932,e007354,민우당 서림,강원
2933,e007362,미인폭포,강원
2934,e007362,민우당 서림,강원
2935,e007368,미인폭포,강원
2936,e007368,민우당 서림,강원
2937,e007379,미인폭포,강원
2938,e007379,민우당 서림,강원
2939,e007385,미인폭포,강원
2940,e007385,민우당 서림,강원
2941,e007388,힐링파크쑥섬쑥섬,전남
2942,e007391,힐링파크쑥섬쑥섬,전남
2943,e007394,미인폭포,강원
2944,e007394,민우당 서림,강원
2945,e007399,힐링파크쑥섬쑥섬,전남
2946,e007408,민락수변공원,부산
2947,e007408,민락 회 타운 시장,부산
2948,e007409,미유 애월점,제주특별자치도
2949,e007409,민오름,제주특별자치도
2950,e007421,힐링파크쑥섬쑥섬,전남
2951,e007425,미인폭포,강원
