TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
e000477,11,여,20,1,1,1,4,6,1,6,7,1,5,3,1
e000479,44,남,50,3,3,3,3,5,5,3,5,8,7,3,2
e000480,41,여,50,2,1,6,1,1,4,1,6,6,,,3
e000481,41,여,20,6,6,6,2,6,6,1,6,2,1,4,0
e000482,41,남,30,5,2,4,2,3,3,6,4,3,1,,1
e000483,41,여,60,1,1,5,1,1,4,1,1,9,3,2,7
e000486,41,남,20,5,3,3,2,3,5,4,4,6,2,1,0
e000490,41,여,30,3,2,5,2,2,6,6,5,1,7,2,0
e000491,41,남,40,1,1,1,1,1,1,1,7,9,3,2,2
e000492,28,남,50,2,5,6,2,2,6,6,6,2,3,1,2
e000496,41,남,20,4,4,5,3,4,5,2,7,5,3,1,1
e000500,11,여,40,1,4,1,3,4,3,1,7,1,3,7,3
e000504,41,여,30,3,3,3,3,3,3,6,5,2,6,4,0
e000505,11,남,40,4,6,6,6,4,5,2,6,2,8,1,0
e000506,11,여,20,2,3,2,4,4,3,3,6,1,10,,0
e000507,41,남,40,4,2,1,4,4,4,4,5,7,3,8,3
e000509,29,남,20,6,2,1,3,3,6,6,3,7,3,2,1
e000510,11,여,60,1,1,2,5,3,4,5,5,6,2,4,1
e000514,41,남,60,1,1,1,1,1,7,3,5,3,1,2,4
e000515,41,남,40,4,2,2,2,2,4,3,2,3,2,1,4
e000521,41,남,40,5,5,5,6,6,4,5,5,4,1,2,0
e000523,11,남,40,2,1,2,3,2,3,2,6,8,3,1,3
e000524,41,여,40,4,7,4,5,7,4,3,7,5,3,8,1
e000525,41,남,40,2,4,2,3,6,7,2,7,3,1,2,2
e000526,44,여,20,3,1,2,3,3,2,7,3,1,2,4,0
e000531,11,여,20,3,1,1,2,6,6,6,6,1,,,1
e000533,11,남,60,2,2,3,2,4,4,3,4,1,2,4,2
e000535,46,여,20,3,2,1,1,1,2,2,5,2,1,7,1
e000536,41,남,40,5,5,3,3,2,4,3,5,7,5,2,0
e000540,41,여,40,1,1,1,1,7,6,1,7,7,2,,2
e000541,11,여,40,4,3,5,2,3,6,5,6,8,3,7,2
e000544,41,여,40,4,6,2,6,6,2,6,4,7,2,1,1
e000546,41,남,20,4,1,1,1,1,6,1,1,1,7,6,0
e000547,41,남,30,2,4,3,3,3,5,3,6,2,3,7,3
e000548,43,남,40,6,2,2,2,5,6,5,4,3,9,2,2
e000550,41,여,30,1,6,3,2,1,4,6,2,1,4,2,0
e000552,11,여,40,2,4,5,2,2,6,5,6,3,9,8,1
e000556,11,남,30,3,2,2,2,2,3,5,6,1,3,7,2
e000557,41,남,50,3,2,5,3,5,3,5,4,1,3,2,2
e000559,41,여,30,1,1,1,5,6,2,4,7,7,1,10,7
e000560,11,여,30,1,1,3,5,2,6,2,2,2,1,3,1
e000561,41,남,50,4,1,6,4,2,7,2,2,4,2,1,0
e000563,30,여,20,5,3,4,2,5,6,6,7,1,2,5,1
e000564,41,남,40,1,1,1,2,7,2,2,2,1,2,7,0
e000566,11,여,50,6,4,2,3,3,6,3,6,5,1,5,0
e000567,11,여,30,1,1,4,5,4,2,2,6,8,7,2,3
e000569,28,남,30,1,2,2,2,5,2,6,6,3,1,4,2
e000571,26,여,30,5,1,1,1,1,1,1,7,1,4,2,0
e000574,41,여,30,2,2,3,5,5,4,2,6,2,1,3,1
