place_id,여행지명,여행지설명,city,분류,activity_type,activity_ids,activity_level,season_preference,emotion_match
2308130004,전주한옥마을,전주한옥마을,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308130005,CU 제주 삼광 충전소점,2001아울렛 구로점,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308130006,Dmz lounge,Dmz lounge,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308130007,서귀포 매일 올레시장,서귀포매일올레시장,전라남도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308130008,광진 해변,2001아울렛 구로점,경상북도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308130010,동문 헌책 도서관,동문헌책도서관,제주특별자치도,"상업지구(거리, 시장, 쇼핑시설)",실내,4,6,Summer,1;10;11;12;13
2308130011,고기 극찬 통영점,광안리해수욕장,경상남도,식당/카페,실내,11,5,Summer,1;10;11;12;2
2308140001,1919봄,1919봄,대전광역시,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308140002,죽녹원,죽녹원,경상남도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308140003,88버거,88버거,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308140004,씨엘이 베이커리 본점,씨엘비베이커리 명륜동본점,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308140005,"격포해수욕장, 채석강",2001아울렛 구로점,전라북도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308140006,346커피스토리,(주)츄로원오원츄로101홍대본점,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308140007,감포 통닭,2001아울렛 구로점,경상남도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308140008,강동 몽돌해변,강동몽돌해변,제주특별자치도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308140009,GS25 뉴 군산 장미점,객사길,전라북도,식당/카페,실내,11,5,Summer,1;10;12;13;2
2308140010,AK플라자 홍대,AK플라자 홍대,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308140011,경의선 책거리,경의선책거리,경상북도,식당/카페,실내,11,5,Summer,1;10;11;12;2
2308150001,GS25 대천머드점,2001아울렛 구로점,전라남도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308150002,PS 파스타,2001아울렛 구로점,서울특별시,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308150003,가시리 국산화 풍력발전 단지,2001아울렛 구로점,제주특별자치도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308150004,성심당 본점,성심당 본점,서울특별시,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308150005,환호공원 스페이스 워크,환호공원 스페이스워크,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308150006,운암정 한옥 베이커리 카페 전통 주점,2001아울렛 구로점,제주특별자치도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308150007,대룡시장,대룡시장,부산광역시,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308150009,고려대학교 낙산 수련관,광주기아챔피언스필드,강원도,식당/카페,실내,11,5,Summer,1;12;13;2;21
2308150010,두툼한 고기돈돼지,두툼한고기돈돼지,울산광역시,식당/카페,실내,11,7,Summer,1;12;13;2;22
2308150011,BTS 버스정류장,BTS 버스정류장,제주특별자치도,자연관광지,실외,1,5,Summer,12;2;22;23;24
2308150012,씽씽 전기자전거,씽씽전기자전거,강원도,자연관광지,실외,1,5,Summer,1;22;23;25;26
2308160001,계곡,2001아울렛 구로점,충청북도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308160002,매미성,매미성,전라남도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308160003,구룡포 일본인 가옥거리,구룡포일본인가옥거리,경상남도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308160004,1994다이닝,1994다이닝,광주광역시,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308160005,제주동문시장,제주동문시장,전라남도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308160006,이순신광장,이순신광장,경상북도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308160007,CU 제주 설촌 노점,2001아울렛 구로점,강원도,식당/카페,실내,11,5,Summer,1;11;12;13;2
2308160008,오동도,오동도,대전광역시,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308160009,SK 렌터카 여수지점,SK렌터카 여수지점,대구광역시,식당/카페,실내,11,5,Summer,1;12;2;21;22
2308160010,여수 해상 케이블카,여수해상케이블카,대구광역시,식당/카페,실내,11,4,Summer,1;12;2;21;22
2308160012,구룡포해수욕장,구룡포해수욕장,강원도,식당/카페,실내,11,5,Summer,1;12;2;21;22
2308170001,J611 제트스키,2001아울렛 구로점,전라남도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308170002,이호 테우해수욕장,이호테우해수욕장,부산광역시,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308170003,CGV 광교, 신세계백화점 센텀시티점,제주특별자치도,식당/카페,실내,11,6,Summer,1;10;11;12;2
2308170004,Cafe 홍시궁 객리단길 본점,2001아울렛 구로점,경기도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308170005,5.18민주화운동 기록관,5.18민주화운동기록관,경상북도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308170006,서귀포 매일 올레시장,서귀포매일올레시장,제주특별자치도,식당/카페,실내,11,6,Summer,1;10;11;12;2
2308170007,Bar le (인피니티 풀 사이드바),Bar le (인피니티풀 사이드바),강원도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308170008,경포해수욕장,경포해수욕장,제주특별자치도,식당/카페,실내,11,5,Summer,1;10;11;12;2
2308170009,CU 돌산 금봉점,CU 돌산금봉점,경상북도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308170016,오채,오채,부산광역시,식당/카페,실내,11,7,Summer,22;26
2308180001,2023순천만국제정원박람회,2001아울렛 구로점,경상북도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308180002,BTS 버스정류장,2001아울렛 구로점,제주특별자치도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308180003,여수세계박람회 스카이타워,여수세계박람회 스카이타워,경상남도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308180004,수목원길 야시장,2001아울렛 구로점,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308180005,금능해수욕장,금능해수욕장,제주특별자치도,식당/카페,실내,11,6,Summer,1;10;11;12;13
