place_id,여행지명,여행지설명,city,분류,activity_type,activity_ids,activity_level,season_preference,emotion_match
2304290009,포메인 에버랜드 직영점,포메인,Unknown,"테마시설(놀이공원, 워터파크)",실외,1;2;4;7,4.0,Spring,
2304280001,사무실,,Unknown,사무실,Unknown,,,Spring,
2304280002,드림하우스,드림하우스,Unknown,친구/친지집,Unknown,1;2;3;4;5;7,6.0,Spring,
2304280003,드림하우스,드림하우스,Unknown,친구/친지집,Unknown,1;2;6;7,4.0,Spring,
2304280004,형제 네 생소금 구이,형제네,Unknown,식당/카페,실내,1;2;3;4;5,5.0,Spring,
2304280005,서울로 717,서울로7017,Unknown,"산책로, 둘레길 등",실외,4;5;99,3.0,Spring,
2304280006,효자손 왕만두,효자손만두,Unknown,식당/카페,실내,1,1.0,Spring,
2304280007,숭례문,숭례문,Unknown,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실내,4,1.0,Spring,
2304290001,드림하우스,드림하우스,Unknown,친구/친지집,Unknown,1;2;3;4;5,5.0,Spring,
2304290002,폴 바셋 서소문점,폴바셋 서소문점,Unknown,식당/카페,실내,1;2;3;4;5;6;7,7.0,Spring,
2304280001,사무실,,서울,사무실,Unknown,,,Spring,
2304280002,경기도 안산시 단원구 고잔동 528-108,,경기,친구/친지집,Unknown,1;2;3;4;5;7,6.0,Spring,
2304280003,영돈,영돈,Unknown,식당/카페,실내,1;2;6;7,4.0,Spring,
2304280004,네이처 빌,,경기,친구/친지집,Unknown,1;2;3;4;5,5.0,Spring,
2304290001,양평 해장국 수원 본점 주차장,양평해장국 수원본점 주차장,Unknown,식당/카페,실내,1;2;3;4;5,5.0,Spring,
2304290002,커피에 반하다 수원 시청역점,커피에반하다 수원시청역점,Unknown,식당/카페,실내,1;2;3;4;5;6;7,7.0,Spring,
2304290003,장안 면옥,안성장안면옥,Unknown,식당/카페,실내,1;2;3;4;5;7,6.0,Spring,
2304290004,유토피아추모관,유토피아추모관,Unknown,기타,Unknown,1;2;3;4;5;6;99,7.0,Spring,
2304290005,엄니 토종 추어탕 본점,엄니토종추어탕 본점,Unknown,상점,Unknown,1;2;3;4;5;6,6.0,Spring,
2304290006,쌍용 폐기 닭 본점,쌍용폐계닭 본점,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,2;3;6,3.0,Spring,
2304290007,곡반정동,,경기,친구/친지집,Unknown,1;3;5;6,4.0,Spring,
2304300001,해장촌,해장촌,Unknown,식당/카페,실내,1;2;3;4;5,5.0,Spring,
2304300002,바리고 빈스,바링고빈스,Unknown,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실내,1;3;4;5;6;7,6.0,Spring,
2304300003,화성 융릉과 건릉,화성융릉과건릉,Unknown,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실내,1;2;3;4;5;6;7,7.0,Spring,
2304300004,떡 잘 곡반정점,떡장 곡반정점,Unknown,식당/카페,실내,1;2;3;4;5;7,6.0,Spring,
2304300005,DMC 파크뷰 자이 1단지 아파트,DMC파크뷰자이1단지아파트,Unknown,집,Unknown,1;5;7,3.0,Spring,
2305010003,삼목선착장,삼목선착장,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;7,2.0,Spring,
2305010004,휠 프렌즈,휠프렌즈,Unknown,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",Unknown,1;4;6,3.0,Spring,
2305010005,이소리라 식당,이솔라식당,Unknown,식당/카페,실내,1;2,2.0,Spring,
2305010006,수기 해변,수기해변,Unknown,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실내,4;5,2.0,Spring,
2305010007,신도항(옹진),신도항(옹진),Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;5;7,3.0,Spring,
2305010008,예단포둘레길,예단포둘레길,Unknown,"산책로, 둘레길 등",실외,4,1.0,Spring,
2304290001,사무실,,경기,사무실,Unknown,1;2;3;4;5,5.0,Spring,
2304290003,장흥농협 하나로마트 송추점,장흥농협송추지점,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,1;2;3;4;5;7,6.0,Spring,
2304290004,대궐 캠핑 글램핑 펜션,대궐산장,Unknown,숙소,Unknown,1;2;3;4;5;6;99,7.0,Spring,
2304290005,대궐 캠핑 글램핑 펜션,대궐산장,경기,숙소,Unknown,1;2;3;4;5;6,6.0,Spring,
2304300001,대궐 산장식당,대궐산장식당,Unknown,식당/카페,실내,1;2;3;4;5,5.0,Spring,
2304300002,마장호수,마장호수,Unknown,자연관광지,실외,1;3;4;5;6;7,6.0,Spring,
2304300003,로마 부동산,,경기,사무실,Unknown,1;2;3;4;5;6;7,7.0,Spring,
2304280003,시흥 센트럴 푸르지오 아파트,시흥센트럴푸르지오아파트,Unknown,친구/친지집,Unknown,1;2;6;7,4.0,Spring,
2304280004,푸른 솔 GC 포천,푸른솔GC 포천,Unknown,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",Unknown,1;2;3;4;5,5.0,Spring,
2305280004,혜화역 4호선,혜화역 4호선,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;2;3;4;5;6;7,7.0,Spring,
2305280005,링크 아트센터,링크아트센터,Unknown,"문화 시설(공연장, 영화관, 전시관 등)",Unknown,1;2;3;4;5;6;7,7.0,Spring,
2305280006,일미리 금계 찜닭 대학로점,일미리금계찜닭 대학로점,Unknown,식당/카페,실내,1;2;3;4;5;6;7,7.0,Spring,
2305280007,예스24 스테이지,브알라 Cafe 대학로,Unknown,"문화 시설(공연장, 영화관, 전시관 등)",Unknown,1;2;3;4;5;6;7,7.0,Spring,
2305280008,혜화역 4호선,혜화역 4호선,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;2;3;4;5;6;7,7.0,Spring,
2305190002,정안 알밤 휴게소 천안 방향,정안알밤휴게소 천안방향,Unknown,"역, 터미널, 고속도로 휴게소",Unknown,1;2;3;4;5;6;7;99,8.0,Spring,
2305190003,한화리조트 용인 베잔송,째깍섬 한화용인센터,Unknown,숙소,Unknown,1;3;4;5;6;7,6.0,Spring,
2305200001,에버랜드,BHC치킨 에버랜드점,Unknown,"테마시설(놀이공원, 워터파크)",실외,1;2;3;4;5;6,6.0,Spring,
2305200002,봉화 회관,봉화회관,Unknown,숙소,Unknown,1;2;3;4;5;7,6.0,Spring,
2305210001,두부 마당 포곡 본점,두부마당 포곡본점,Unknown,식당/카페,실내,1;2;3;4;5;6;7,7.0,Spring,
2305230002,개포동 근린공원,,서울,"산책로, 둘레길 등",실외,1;2;3;4;5;6,6.0,Spring,
2305230003,백년 교동 짬뽕 개포점,백년교동짬뽕 개포점,Unknown,식당/카페,실내,1;2;4;5;7,5.0,Spring,
2305230004,플랑크,플링크,Unknown,식당/카페,실내,1;2;4;5;6;7,6.0,Spring,
2305230005,오리지널 팬케이크 하우스 잠실점,오리지널 팬케이크하우스 잠실점,Unknown,식당/카페,실내,1;3;4;5,4.0,Spring,
2305230006,류 게스트하우스,류게스트하우스,Unknown,숙소,Unknown,1;3;4;5,4.0,Spring,
